type,id,pos_x,pos_y,pos_z,group,rotation,ip_address,dmx_address,universe,kx,ky,kz,pan,stand_type,cam_pan,cam_h,mode,zoom
generic_light,92,-8.46296,-1.5,29.2071,9,0,255.255.255.255,325,6,0.32,0.09,-0.16,0,0,0.45,0.31,0,0
generic_light,93,-8.2641,-1.5,28.5441,9,0,255.255.255.255,346,6,0.1,0,-0.17,0,0,0.47,0.44,0,0
generic_light,94,-8.14805,-1.5,27.8617,9,0,255.255.255.255,368,6,0.05,0,-0.2,0,0,0.43,0.43,0,0
generic_light,95,-8.10603,-1.5,26.9397,9,0,255.255.255.255,389,6,0,0,0,0,0,0.48,0.11,0,0.5
generic_light,96,-8.20214,-1.5,26.2503,9,0,255.255.255.255,410,6,0,0,0,0,0,0.54,0.17,0,0.525
generic_light,97,-8.3215,-1.5,25.8054,9,0,255.255.255.255,431,6,0,0,-0.17,0,0,0.48,0.44,0,0
generic_light,98,-11.7993,-1.5,23.9679,10,0,255.255.255.255,452,7,3.68,0.09,-4.17,0,1,0.33,0.2,0,0.675
generic_light,99,-10.698,-1.5,23.6794,10,0,255.255.255.255,473,7,2.47,0.07,-1.64,0,0,0.42,0.3,0,0.6
generic_light,100,-11.1304,-1.5,22.6262,10,0,255.255.255.255,494,7,1.8,0.09,0.26,0,0,0.32,0.32,0,-4.86E-17
generic_light,101,-8.23326,-1.5,19.4756,11,0,255.255.255.255,2,7,-0.45,0.1,1.19,0,1,0.44,0.3,0,0.475
generic_light,102,-9.80084,-1.5,20.2185,11,0,255.255.255.255,23,7,2.21,0,-0.73,0,0,0.4,0.37,0,0.65
generic_light,103,-8.69412,-1.5,21.5544,11,0,255.255.255.255,44,7,-0.52,0.09,0.48,0,0,0.45,0.29,0,0.825
generic_light,104,-2.61995,-2.54,-15.5998,12,0,255.255.255.255,65,8,-3.17,0.04,-0.63,0,0,0.07,0.52,0,0.35
generic_light,105,-3.08211,-2.54,-14.9865,12,0,255.255.255.255,11,8,-3.33,0.09,-0.75,0,1,0.98,0.28,0,0.875
generic_light,106,-3.7593,-2.54,-14.0544,12,0,255.255.255.255,32,8,-2.35,-3.47E-18,-0.98,0,0,0.97,0.26,0,0.75
generic_light,107,-4.62925,-2.54,-12.7886,12,0,255.255.255.255,53,8,-2.32,0,-1.92,0,2,0.96,0.45,0,0.475
generic_light,108,-5.26507,-2.54,-11.828,12,0,255.255.255.255,74,8,-1.43,0,-2.18,0,0,0.95,0.45,0,0.4
generic_light,109,-5.88402,-2.54,-10.8564,12,0,255.255.255.255,96,8,-2.13,0.1,-0.18,0,1,0.92,0.49,0,0.475
generic_light,110,-6.48591,-2.54,-9.87422,12,0,255.255.255.255,117,8,-1.38,0.09,-0.33,0,0,0.97,0.41,0,0.525
generic_light,111,-7.07059,-2.54,-8.88167,12,0,255.255.255.255,138,8,-1.46,0.08,-0.88,0,2,0.98,0.26,0,0.55
generic_light,112,-7.63783,-2.54,-7.87904,12,0,255.255.255.255,159,8,-0.51,0,-1.09,0,0,0.97,0.5,0,0.65
generic_light,113,-8.18751,-2.54,-6.86668,12,0,255.255.255.255,180,8,-0.73,0.08,-1.5,0,1,0.97,0.49,0,0.8
generic_light,114,-8.71942,-2.54,-5.84488,12,0,255.255.255.255,201,8,0.2,0.08,-1.94,0,0,0.95,0.36,0,0.5
generic_light,115,-9.23341,-2.54,-4.81394,12,0,255.255.255.255,222,8,-0.69,0.08,-0.51,0,1,0.97,0.43,0,0.425
generic_light,116,-9.72936,-2.54,-3.77421,12,0,255.255.255.255,243,8,-0.12,0,-0.91,0,0,0.95,0.67,0,0.4
generic_light,117,-10.2071,-2.54,-2.72596,12,0,255.255.255.255,264,8,-0.07,0.08,-1.36,0,2,0.97,0.33,0,0.4
generic_light,118,-10.6664,-2.54,-1.66955,12,0,255.255.255.255,285,8,0.55,0.09,-1.72,0,1,0.97,0.53,0,0.425
generic_light,119,-11.1072,-2.54,-0.605274,12,0,255.255.255.255,306,8,0.32,0.09,-2.32,0,0,0.99,0.66,0,0.25
generic_light,120,-11.5294,-2.54,0.466528,12,0,255.255.255.255,327,8,0.05,0.04,-1.25,0,1,0.97,0.5,0,0.5
generic_light,121,-11.9329,-2.54,1.54554,12,0,255.255.255.255,348,8,0.54,0.03,-1.71,0,2,0.96,0.74,0,0.4
generic_light,122,-12.3174,-2.54,2.63142,12,0,255.255.255.255,370,8,0.57,0.13,-2.25,0,2,0.96,0.54,0,0.375
generic_light,123,-12.6829,-2.54,3.72385,12,0,255.255.255.255,391,8,0.81,-0.01,-2.75,0,3,0.97,0.54,0,0.3
generic_light,124,-13.0293,-2.54,4.82251,12,0,255.255.255.255,412,8,0.8,3.47E-18,-3.17,0,0,0.97,0.43,0,0.55
generic_light,125,-13.4656,-2.54,6.2952,12,0,255.255.255.255,433,8,1.4,0.08,0.8,0,0,0.02,0.49,0,0.275
generic_light,126,-13.7637,-2.54,7.40804,12,0,255.255.255.255,454,8,1.12,0.11,-0.02,0,2,0,0.53,0,0
generic_light,127,-13.9495,-2.54,8.15317,12,0,255.255.255.255,475,8,1.6,0.08,-0.49,0,1,0.98,0.33,0,0.35
generic_light,128,-11.58,-3.64,-14.88,13,0,255.255.255.255,496,9,1.79,-0.12,-2.52,0,4,0.58,0.93,0,0.425
generic_light,129,-12.0151,-3.64,-13.5099,13,0,255.255.255.255,4,9,1.61,-0.12,-2.36,0,4,0.44,0.53,0,0.675
generic_light,130,-12.4503,-3.64,-12.1399,13,0,255.255.255.255,25,9,1.68,-0.1,-2.72,0,4,0.52,0.43,0,0.425
generic_light,131,-12.8854,-3.64,-10.7698,13,0,255.255.255.255,46,9,1.31,-0.1,-1.53,0,4,0.42,0.61,0,0.7
generic_light,132,-13.3205,-3.64,-9.39976,13,0,255.255.255.255,67,9,1.21,-0.1,-0.96,0,4,0.44,0.59,0,0.325
generic_light,133,-13.7557,-3.64,-8.0297,13,0,255.255.255.255,88,9,1.36,-0.1,-1.45,0,4,0.47,0.49,0,0.575
generic_light,134,-14.1908,-3.64,-6.65964,13,0,255.255.255.255,109,9,0.96,-0.11,-0.61,0,4,0.45,0.52,0,0.575
generic_light,135,-14.6259,-3.64,-5.28958,13,0,255.255.255.255,131,9,1.17,-0.1,-1.26,0,4,0.44,0.42,0,0.75
generic_light,136,-15.0611,-3.64,-3.91952,13,0,255.255.255.255,152,9,1.1,-0.09,-0.93,0,4,0.52,0.37,0,0.575
generic_light,137,-15.4962,-3.64,-2.54946,13,0,255.255.255.255,173,9,1.24,-0.1,-1.44,0,4,0.37,0.51,0,0.8
generic_light,138,-15.9314,-3.64,-1.1794,13,0,255.255.255.255,194,9,1.12,-0.1,-0.87,0,4,0.47,0.43,0,0.625
generic_light,139,-16.3665,-3.64,0.190658,13,0,255.255.255.255,215,9,1.17,-0.14,-1.22,0,4,0.46,0.35,0,0.725
generic_light,140,-16.8016,-3.64,1.56072,13,0,255.255.255.255,236,9,1.08,-0.12,-0.99,0,4,0.42,0.46,0,0.675
generic_light,141,-17.2368,-3.64,2.93078,13,0,255.255.255.255,257,9,1.14,-0.11,-1.58,0,4,0.43,0.45,0,0.65
generic_light,142,-17.6719,-3.64,4.30084,13,0,255.255.255.255,278,9,0.96,0,-0.73,0,4,0.46,0.45,0,0.6
generic_light,143,-18.107,-3.64,5.6709,13,0,255.255.255.255,299,9,1.15,0,-1.12,0,4,0.4,0.47,0,0.65
generic_light,144,-18.5422,-3.64,7.04096,13,0,255.255.255.255,320,9,1.05,-3.47E-18,-1.18,0,4,0.44,1,0,-4.86E-17
generic_light,145,-14.31,-3.81,-17.82,14,0,255.255.255.255,341,10,-0.75,0,-1.64,0,0,0.38,0.83,0,0.3
generic_light,146,-15.1777,-3.81,-18.1995,14,0,255.255.255.255,362,10,-0.94,0,-1.42,0,1,0.38,0.77,0,0
generic_light,147,-16.0454,-3.81,-18.5789,14,0,255.255.255.255,383,10,-0.29,0,-0.08,0,1,0.4,0.78,0,0
generic_light,148,-16.9132,-3.81,-18.9584,14,0,255.255.255.255,404,10,0.62,0,1.71,0,0,0.35,0.3,0,0.3
generic_light,149,-17.7809,-3.81,-19.3378,14,0,255.255.255.255,426,10,-2.35,0,2.74,0,0,0.24,0.96,0,0.65
generic_light,150,-18.6486,-3.81,-19.7173,14,0,255.255.255.255,447,10,-2.43,0,2.83,0,2,0.17,0.61,0,-4.86E-17
generic_light,151,-19.5163,-3.81,-20.0967,14,0,255.255.255.255,468,10,-2.25,0,3.9,0,0,0.2,0.48,0,0.35
generic_light,152,-20.384,-3.81,-20.4762,14,0,255.255.255.255,489,10,-1.66,0,3.12,0,0,0.2,0.64,0,0.375
generic_light,153,-21.2517,-3.81,-20.8557,14,0,255.255.255.255,510,10,-2.2,0,4.55,0,2,0.17,0.51,0,0.525
generic_light,154,-22.1195,-3.81,-21.2351,14,0,255.255.255.255,18,10,-1.76,0,4.14,0,1,0.18,0.47,0,0
generic_light,155,-22.9872,-3.81,-21.6146,14,0,255.255.255.255,39,10,-1.59,0,4.39,0,1,0.16,0.35,0,0.05
generic_light,156,-23.8549,-3.81,-21.994,14,0,255.255.255.255,60,10,-1.69,0,4.27,0,1,0.24,0.57,0,0.225
generic_light,157,-24.7226,-3.81,-22.3735,14,0,255.255.255.255,6,10,-3.9,0,2.52,0,0,0.09,0.61,0,0
generic_light,158,-25.5903,-3.81,-22.7529,14,0,255.255.255.255,27,10,-3.78,0,2.59,0,0,0.07,0.57,0,0.525
generic_light,159,-26.458,-3.81,-23.1324,14,0,255.255.255.255,48,10,-2.45,0,2.3,0,0,0,0.49,0,0.75
generic_light,160,-27.3258,-3.81,-23.5119,14,0,255.255.255.255,69,10,-1.67,0,0.28,0,0,0.02,0.49,0,0.375
generic_light,161,-28.1935,-3.81,-23.8913,14,0,255.255.255.255,90,10,-0.92,0,-0.23,0,0,0.07,0.38,0,0.375
generic_light,162,-29.0612,-3.81,-24.2708,14,0,255.255.255.255,111,10,-0.72,0,-0.47,0,0,0,0.8,0,0
generic_light,163,-12.5,-3.64,-22.58,15,0,255.255.255.255,133,11,-0.08,-0.16,-0.56,0,0,0.69,0.58,0,0
generic_light,164,-13.8032,-3.64,-23.0338,15,0,255.255.255.255,154,11,0.42,-0.22,-0.25,0,1,0.76,0.37,0,0
generic_light,165,-15.1065,-3.64,-23.4877,15,0,255.255.255.255,175,11,1.05,-0.2,-0.11,0,0,0.75,0.35,0,0
generic_light,166,-16.4097,-3.64,-23.9415,15,0,255.255.255.255,196,11,-0.6,-0.19,-0.75,0,0,0.72,0.45,0,0
generic_light,167,-17.713,-3.64,-24.3953,15,0,255.255.255.255,217,11,-0.2,-0.18,-0.59,0,0,0.67,0.45,0,0.3
generic_light,168,-19.0162,-3.64,-24.8492,15,0,255.255.255.255,238,11,-0.14,-0.2,-0.38,0,0,0.71,0.55,0,0
generic_light,169,-20.3194,-3.64,-25.303,15,0,255.255.255.255,259,11,0.33,-0.19,-0.45,0,0,0.7,0.45,0,0
generic_light,170,-21.6227,-3.64,-25.7569,15,0,255.255.255.255,280,11,0.58,-0.17,-0.33,0,0,0.69,0.41,0,0
generic_light,171,-22.9259,-3.64,-26.2107,15,0,255.255.255.255,301,11,1.03,0,0.28,0,0,0.82,0.36,0,0
generic_light,172,-24.2292,-3.64,-26.6645,15,0,255.255.255.255,322,11,-0.87,-0.23,-0.65,0,1,0.67,0.26,0,0.45
generic_light,173,-25.5324,-3.64,-27.1184,15,0,255.255.255.255,343,11,-0.27,-0.21,-0.53,0,1,0.71,0.39,0,0
generic_light,174,-26.8356,-3.64,-27.5722,15,0,255.255.255.255,364,11,-0.1,-0.18,-0.3,0,0,0.62,0.32,0,0.425
generic_light,175,-28.03,-5.51,-35.37,16,0,255.255.255.255,385,12,-0.35,-0.02,1.85,0,0,0.58,0.33,0,0.575
generic_light,176,-28.2566,-5.51,-36.8508,16,0,255.255.255.255,407,12,0.21,-0.04,0.98,0,0,0.54,0.36,0,0.4
generic_light,177,-28.4832,-5.51,-38.3315,16,0,255.255.255.255,428,12,0.62,0,1.01,0,0,0.48,0.48,0,0.25
generic_light,178,-28.7098,-5.51,-39.8123,16,0,255.255.255.255,449,12,1.06,-0.01,1,0,1,0.54,0.32,0,0.5
generic_light,179,-28.9364,-5.51,-41.2931,16,0,255.255.255.255,470,12,1.56,0,-0.01,0,0,0.53,0.3,0,0.325
generic_light,180,-29.1629,-5.51,-42.7738,16,0,255.255.255.255,491,12,1.83,0,0.12,0,0,0.53,0.4,0,0.3
generic_light,181,-29.3895,-5.51,-44.2546,16,0,255.255.255.255,1,12,2.12,0,-1.39,0,0,0.66,0.32,0,1
generic_light,182,-29.6161,-5.51,-45.7353,16,0,255.255.255.255,20,12,1.82,0,-1.04,0,0,0.65,0.36,0,0.625
generic_light,183,-29.8427,-5.51,-47.2161,16,0,255.255.255.255,41,12,0.1,0,-1.7,0,0,0.66,0.33,0,0.45
generic_light,184,-30.0693,-5.51,-48.6969,16,0,255.255.255.255,62,12,-0.73,-0.12,-0.24,0,0,0.62,0.35,0,-0.025
generic_light,185,-30.2959,-5.51,-50.1776,16,0,255.255.255.255,83,12,-0.18,0,0.58,0,0,0.64,0.3,0,0.65
generic_light,186,-31.33,-5.5,-47,17,0,255.255.255.255,104,13,-2.72,0,-2.88,0,1,0.91,0.64,0,-0.025
generic_light,187,-31.1035,-5.5,-46.0916,17,0,255.255.255.255,125,13,-3.24,0,-2.75,0,0,0.83,0.29,0,0.45
generic_light,188,-30.877,-5.5,-45.1831,17,0,255.255.255.255,146,13,-4.39,0,-3.78,0,1,0.94,0.26,0,0.625
generic_light,189,-30.6505,-5.5,-44.2747,17,0,255.255.255.255,167,13,-4.3,0,-4.03,0,0,0.95,0.21,0,0.6
generic_light,190,-30.424,-5.5,-43.3662,17,0,255.255.255.255,189,13,-4.41,0,-3.17,0,1,0.06,0.29,0,0.75
generic_light,191,-30.1975,-5.5,-42.4578,17,0,255.255.255.255,210,13,-4.61,0,-2.92,0,0,0.04,0.24,0,0.475
generic_light,192,-29.971,-5.5,-41.5494,17,0,255.255.255.255,231,13,-5.07,0,-2.37,0,1,0.05,0.34,0,0.475
generic_light,193,-29.7445,-5.5,-40.6409,17,0,255.255.255.255,252,13,-4.84,0,-2.28,0,1,0.89,0.26,0,0.525
generic_light,194,-29.518,-5.5,-39.7325,17,0,255.255.255.255,273,13,-4.69,0.02,-1.82,0,0,0.9,0.28,0,0.625
generic_light,195,-29.2915,-5.5,-38.824,17,0,255.255.255.255,294,13,-4.64,0,-1.73,0,0,0.87,0.37,0,0.075
generic_light,196,-29.065,-5.5,-37.9156,17,0,255.255.255.255,315,13,-4.66,-0.01,-1.07,0,1,0.83,0.38,0,1
generic_light,197,-28.8385,-5.5,-37.0072,17,0,255.255.255.255,336,13,-3.34,0,-0.56,0,0,0.2,0.44,0,0
generic_light,198,-28.612,-5.5,-36.0987,17,0,255.255.255.255,357,13,-3.25,0,-0.68,0,0,0,0.59,0,0
generic_light,199,-28.3855,-5.5,-35.1903,17,0,255.255.255.255,378,13,-2.97,0,-1.21,0,0,0,0.69,0,0.6
